word,num,valence,val.sd,arousal,arousal.sd,dominance,dominance.sd,freq
gender,763,0.73,1.55,-0.62,2.13,0.6,1.84,2
gentle,183,2.31,1.3,-1.79,2.57,0.1,2.16,27
germs,764,-2.14,1.39,-0.51,2.24,-1.21,1.59,1
gift,184,2.77,2.24,1.14,2.76,0.52,2.54,33
girl,185,1.87,1.64,-0.71,2.69,0.8,2.16,220
glacier,186,0.5,1.25,-0.76,2.29,-0.08,2.12,1
glamour,187,1.76,1.6,-0.32,2.23,0.76,2.49,5
glass,765,-0.25,1.38,-0.73,2.07,0,1.46,99
gloom,188,-3.12,1.23,-1.17,2.33,-1.45,2.07,14
glory,189,2.55,1.68,1.02,2.71,1.85,2.23,21
god,190,3.15,1.27,0.95,2.84,0.88,2.89,318
gold,191,2.54,1.63,0.76,2.79,0.85,2.46,52
golfer,535,0.61,1.93,-1.27,2.26,0.55,1.79,3
good,766,2.47,1.45,0.43,2.85,1.41,2.05,807
gossip,767,-1.52,2.33,0.74,2.38,-1.43,2.26,13
graduate,192,3.19,1.13,2.25,2.25,1.94,2.44,30
grass,768,1.12,1.44,-0.86,2.11,0.44,1.36,53
grateful,193,2.37,0.97,-0.42,2.14,1.18,1.77,25
greed,769,-1.49,1.93,-0.29,2.26,-0.12,2.03,3
green,194,1.18,2.05,-0.72,2.46,-0.18,2.05,116
greet,770,2,1.52,0.27,2.31,0.95,2.07,7
grenade,771,-1.4,1.88,0.7,2.52,-0.71,2.5,3
grief,195,-3.31,1.04,-0.22,2.84,-1.5,2.35,10
grime,772,-1.63,1.34,-1.02,2.29,-0.53,1.28,.
grin,773,2.4,1.87,0.27,2.64,1,1.86,13
gripe,774,-1.86,1.56,0,2.19,-0.33,1.79,.
guillotine,196,-2.52,2.11,1.56,2.54,-0.36,2.63,.
guilty,197,-2.37,1.98,1.04,2.76,-1.91,2.22,29
gun,593,-1.53,2.48,2.02,1.84,-1.47,2.72,118
gymnast,515,1.35,1.79,0.02,2.2,0.31,1.79,1
habit,775,-0.89,1.77,-1.05,2.11,-0.7,1.79,23
hairdryer,561,-0.16,0.84,-1.29,1.75,0.57,1.27,.
hairpin,776,0.26,1.45,-1.73,2.41,0.05,1.32,1
hamburger,777,1.27,1.5,-0.45,2.14,0.32,1.21,6
hammer,198,-0.12,1.16,-0.42,2.02,-0.25,1.88,9
hand,778,0.95,1.38,-0.6,2.07,0.35,1.49,431
handicap,779,-1.71,1.69,-1.19,2.27,-1,2.24,6
handsome,199,2.93,1.47,0.95,2.73,0.19,2.22,40
haphazard,780,-0.98,1.41,-0.93,2.18,-0.71,1.67,2
happy,200,3.21,1.82,1.49,2.77,1.63,2.43,98
hard,781,0.22,1.82,0.12,2.19,0.59,1.63,202
hardship,782,-2.55,1.61,-0.24,2.55,-0.78,2.4,9
hat,783,0.46,1.36,-0.9,2,0.39,1.43,56
hate,201,-2.88,1.72,1.95,2.56,0.05,2.95,42
hatred,202,-3.02,1.92,1.66,2.56,-0.7,2.76,20
hawk,536,0.88,1.62,-0.61,2.29,0.5,1.69,14
hay,784,0.24,1.24,-1.05,2.58,0.37,1.64,19
headache,203,-2.98,1.06,0.07,2.74,-1.4,1.98,5
headlight,785,0.24,1.51,-1.19,2.22,-0.12,1.47,.
heal,786,2.09,1.46,-0.23,2.23,0.79,1.8,2
health,204,1.81,1.88,0.13,2.35,0.83,1.91,105
heart,787,2.39,1.53,1.34,2.25,0.49,2.11,173
heaven,205,2.3,2.39,0.61,3.2,1.15,2.56,43
